S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1237,SUZUKI MOTORCYCLE INDIA PVT LTD,59832,59232,64625,61974,61731,62692,62764,69502,73849,80292,83129,66538,806160
1238,SVS ENTERPRISES,0,0,0,5,3,9,16,14,8,14,4,11,84
1239,SWADESH MOTORS AND TRACTORS LTD,2,0,0,0,0,0,0,0,0,0,0,0,2
1240,"SWAPNA FABRICATION WORKS,MALKANGIRI",0,2,1,0,0,0,0,1,1,3,1,3,12
1241,SWARAJ AUTOMOTIVES LTD,0,2,4,5,6,4,6,0,0,7,8,0,42
1242,SWARNCHAKRA AUTOMOBILES PVT LTD,1,1,1,0,0,0,0,0,0,0,0,2,5
1243,SWASTIK ENGINEERING WORKS,0,0,0,1,1,2,0,1,0,0,0,0,5
1244,SWITCH MOBILITY AUTOMOTIVE LTD,35,18,31,13,5,5,9,10,12,9,7,4,158
1245,SYAN AGRO INDUSTRY,5,5,13,6,4,30,1,9,9,5,2,13,102
1246,SYNDICATE AUTO COMPONENTS,6,14,13,5,3,10,5,2,6,3,5,5,77
1247,TADANO LIMITED,0,0,0,1,1,0,2,0,0,1,1,0,6
1248,TAFE LIMITED,7967,6604,8951,6756,8935,11204,12423,9567,6866,8685,7234,8056,103248
1249,TAO POWER PRIVATE LIMITED,0,0,0,1,3,1,0,0,1,4,0,1,11
1250,TARA MAA MACHINERY,0,0,0,0,0,0,0,0,0,21,2,3,26
1251,TARLE CONSTRUCTION EQUIPMENTS PVT LTD,0,2,1,1,0,2,2,1,1,0,2,1,13
1252,TATA ADVANCED SYSTEMS LTD,63,64,56,21,34,36,10,7,0,22,20,37,370
1253,TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD,94,129,121,122,106,116,106,112,100,101,96,81,1284
1254,TATA HITACHI MACHINERY CONSTRUCTION LIMITED,1,0,0,0,0,0,0,0,0,0,0,0,1
1255,TATA INTERNATIONAL VEHICLE APPLICATIONS PVT LTD,0,0,0,7,10,7,0,1,14,0,0,0,39
1256,TATA MOTORS LTD,34422,32575,38154,34442,27469,27600,28430,29187,30475,33542,31132,27401,374829
1257,TATA MOTORS PASSENGER VEHICLES LTD,44906,38947,46656,40872,37709,34788,33538,34372,34706,43644,49157,38968,478263
1258,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,482,4248,4855,5057,4483,4135,5419,5007,4947,38633
1259,TAURUS ELECTRIC VEHICLES,14,43,19,22,34,30,21,38,34,19,15,57,346
1260,TBL ENTERPRISE,0,1,0,0,0,0,0,0,0,0,0,0,1
1261,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0,1
1262,TELCO LTD,0,0,0,0,0,2,0,0,0,0,0,0,2
1263,TELSA INC,0,0,0,0,0,0,1,0,0,0,0,0,1
1264,TEREX CORPORATION,0,0,1,1,0,0,0,0,0,0,0,0,2
1265,TEREX EQUIPMENT PVT LTD,0,0,0,0,0,0,0,0,2,1,0,0,3
1266,TEREX INDIA PRIVATE LIMITED,7,1,6,3,1,6,2,5,4,2,3,6,46
1267,TERRA MOTORS INDIA PVT LTD,558,613,635,488,571,639,784,850,1029,948,883,815,8813
1268,THE COMMERCIAL MOTORS LIMITED,5,5,5,11,1,27,0,0,2,0,0,2,58
1269,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,4,3,0,0,0,0,0,1,8
1270,THUKRAL ELECTRIC BIKES PVT LTD,563,512,591,469,543,491,529,582,760,684,741,856,7321
1271,TI CLEAN MOBILITY PVT LTD,0,2,0,12,20,9,62,133,219,211,278,327,1273
1272,TII INDIA PVT LTD,10,6,4,7,7,10,1,4,11,4,2,2,68
1273,TIL LIMITED,0,0,0,1,0,0,0,0,0,0,0,0,1
1274,TIRTH AGRO TECHNOLOGY PVT LTD,54,46,42,21,14,108,17,2,5,7,2,30,348
1275,TIRTH AGRO TECH.PVT.LTD,0,0,0,0,1,0,0,0,0,0,0,0,1
1276,TIRTH HYGIENE TECHNOLOGY PVT LTD,0,1,0,0,0,0,1,1,0,0,0,1,4
1277,TIRUPATI AGRO INDUSTRIES,0,0,0,1,0,0,0,0,0,0,0,1,2
1278,TOGOR ENGINEERING WORKS,0,0,1,2,0,0,0,0,0,0,0,0,3
1279,TOP TEAM MACHINES PVT LTD,157,93,120,160,117,126,144,137,149,244,142,154,1743
1280,TORK MOTORS PVT LTD,62,24,88,84,210,45,66,90,150,169,395,206,1589
1281,TOYOTA HIACE GL COMMUTER,1,0,0,0,0,0,0,0,0,0,0,0,1
1282,TOYOTA KIRLOSKAR MOTOR PVT LTD,11370,12815,16712,14554,15525,17067,16469,18527,19035,19616,18073,15197,194960
1283,TOYOTA MATERIAL HANDLING INDIA PVT LTD,5,15,9,5,17,19,18,20,11,15,7,29,170
1284,TPS INFRASTRUCTURE LTD,0,0,3,3,3,1,0,1,2,2,0,1,16
1285,TPS INFRASTRUCTURE LTD.,0,0,0,0,0,0,0,1,0,0,0,0,1
1286,TRACLAXX TRACTORS PVT LTD,23,18,35,0,0,23,31,30,0,4,0,1,165
1287,TRACLAXX TRACTORS PVT.LTD,0,0,1,0,0,0,0,0,0,1,0,0,2
1288,TRACTOR VANDANA GREEN,1,0,0,0,0,0,0,0,0,0,0,0,1
1289,TRANSPORT ENGINEERING SOLUTIONS INDIA PVT LTD,10,0,0,0,3,10,0,20,0,1,0,0,44
1290,TRATEC ENGINEERS PVT LTD,9,10,9,13,14,12,8,4,5,7,7,8,106
1291,TRATICO ENGINEERING INDIA PVT LTD,0,0,0,0,0,0,0,0,0,3,0,0,3
1292,TRIMURTI AGRO INDUSTRIES,2,2,1,1,0,0,0,1,0,1,2,4,14
1293,TRIMURTI INDUSTRIES,0,0,1,0,0,0,2,1,0,0,0,0,4
1294,TRIMURTI TRAILER,0,0,0,0,0,0,0,2,1,3,2,1,9
1295,TRINITY ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,1,8,2,0,4,4,37,57
1296,TRISHIKA INDUSTRIES,86,70,123,86,204,130,111,152,114,109,108,68,1361
1297,TRISHUL TRACTORS PVT. LTD.,1,1,0,0,0,0,10,3,3,1,0,1,20
1298,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,72,62,99,75,63,56,48,35,43,83,69,70,775
1299,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,0,0,0,0,0,7,0,2,0,1,10
1300,TRUZ INDUSTRIES,0,0,0,0,0,0,0,0,0,1,2,0,3
1301,TSM ENGINEERING PVT LTD,4,11,44,9,8,7,33,33,44,40,28,36,297
1302,TSR TRADE COM,6,5,3,1,4,0,0,3,1,0,5,2,30
1303,TUFAN MOTORS PVT LTD,39,57,74,40,58,93,82,99,92,115,121,117,987
1304,T U K INDUSTRIES,148,135,166,182,224,212,276,287,238,341,266,370,2845
1305,TULJABHAWANI AGRO INDUSTRIES,0,2,0,1,0,2,1,0,1,0,1,1,9
1306,TULSI TRAILER,1,0,1,1,1,0,0,0,2,0,1,3,10
1307,TUNWAL E MOTORS PVT LTD,6,5,2,4,1,5,8,1,4,4,0,4,44
1308,TVS MOTOR COMPANY LTD,210269,213776,241920,211351,255242,229144,215373,227413,231019,254474,368641,235493,2894115
1309,TWASHTRE AUTOMOTIVE PVT LTD,3,2,2,1,1,0,2,0,0,0,0,0,11
1310,TWINKLE TRADCOM PVT LTD,68,88,152,144,134,168,133,120,127,164,124,83,1505
1311,TWO FRIENDS AUTO ELECTRIC PVT LTD,307,267,354,290,319,442,299,300,329,274,300,367,3848
1312,TYST DRIVE INDIA PVT LTD,3,0,2,5,1,2,3,2,3,5,3,2,31
1313,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,23,37,10,26,44,35,28,21,11,11,11,257
1314,UMA  AUTO INDUSTRIES PVT. LTD,4,1,6,3,17,21,21,8,12,19,15,10,137
1315,UMA MOTORS,8,7,15,21,29,22,14,24,16,15,15,25,211
1316,UNIPAVE ENGINEERING PRODUCTS,1,2,1,1,0,0,0,1,0,3,1,0,10
1317,UNIQUE AUTO ELECTRIC,0,0,0,0,0,0,0,0,0,0,0,26,26
1318,UNIQUE ENTERPRISES,177,190,303,163,253,251,323,311,461,399,341,408,3580
1319,UNIQUE INTERNATIONAL,845,826,1150,883,1121,1161,1301,1448,1324,1103,1191,1221,13574
1320,UNITED KINGDOM GROVE,0,0,0,0,2,1,1,0,1,2,1,0,8
1321,UNITED TRANSMOVERS PVT LTD,24,17,25,21,27,26,24,18,37,11,10,32,272
1322,U P TELELINKS LIMITED,3,0,0,0,0,0,0,0,0,0,0,0,3
1323,U.P. TELELINKS LIMITED,220,161,166,185,156,193,180,201,246,212,255,265,2440
1324,URWASHI ENTERPRISES,2,16,28,24,35,37,52,42,33,44,19,23,355
1325,UTKAL INDUSTRIES,0,0,0,1,0,0,3,0,0,0,0,1,5
1326,UTTAM CONSTRUCTION EQUIPMENTS,8,8,21,11,15,16,9,17,7,18,9,11,150
1327,VAHAK FUTURE SOLUTIONS LLP,0,1,3,0,0,1,0,0,1,0,4,13,23
1328,VALDO TRACTORS PVT LTD,0,0,0,0,0,0,0,3,0,1,0,0,4
1329,VANDANA TRAILORS AND BODY MFG PVT LTD,0,5,0,2,4,1,0,0,0,0,0,0,12
1330,VANI ELECTRIC VEHICLES PVT LTD,517,545,648,563,629,599,691,699,921,821,554,645,7832
1331,VASHAN AGRICULTURE WORKS,0,3,3,1,1,15,0,0,0,0,0,4,27
1332,VEANCO AUTOMOTIVES PVT LTD,2,0,1,0,0,0,8,0,0,0,0,0,11
1333,VE COMMERCIAL VEHICLES LTD,5870,5930,6904,7550,7265,6161,5536,5733,5965,6713,5816,5114,74557
1334,VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),3,23,16,33,17,22,14,20,25,31,27,15,246
1335,VEECTERO E VEHICLES LLP,4,22,12,26,13,12,17,12,10,11,8,24,171
1336,VEERA VAHANA UDYOG PRIVATE LIMITED,0,0,0,0,0,2,0,0,3,4,3,6,18
1337,VEERBHADRA ENGINEERING WORKS,0,1,0,0,0,0,0,2,2,10,4,6,25
1338,VEHICLE FACTORY JABALPUR,1,0,0,0,0,0,0,0,0,0,10,0,11
1339,VENKATESHWARA ENGINEERING WORK,1,1,0,3,0,3,1,2,0,8,14,7,40
1340,VENKATESHWAR AGRO INDUSTRIES,1,0,1,1,1,1,2,1,0,1,0,0,9
1341,VENUS AUTO WHEELS PVT LTD,51,39,63,41,48,65,56,55,55,47,29,25,574
1342,VENUS EQUIPMENT,5,10,6,4,9,13,7,2,6,8,11,10,91
1343,VERT EQUIPMENT PVT LTD,3,4,1,2,10,1,7,1,0,1,1,0,31
1344,VICTORIA E VEHICLES PVT. LTD,0,0,2,0,2,0,11,1,3,2,4,0,25
1345,VICTORY ELECTRIC INTERNATIONAL,273,248,314,207,253,315,282,337,280,320,240,252,3321
1346,VIDARBHA TRAILERS,2,0,0,1,1,1,3,12,2,13,3,5,43
1347,VIJAYA ELECTRIC AUTO PVT LTD,33,13,3,11,20,23,31,16,27,12,31,36,256
1348,VIJAY AGRICULTURAL INDUSTRIES,3,0,0,0,2,0,0,0,2,0,2,0,9
1349,VIJAYA INDUSTRIES,3,2,3,2,2,3,5,0,1,0,0,0,21
1350,VIJAYALAKSHIMI ENGG WORKS,0,1,0,1,0,0,0,0,0,0,0,0,2
1351,VIJAYALAKSHMI INDUSTRIES,1,0,0,0,2,0,0,0,0,1,0,1,5
1352,VIJAY ENGINEERING WORKS,1,1,4,3,1,1,1,1,0,0,3,1,17
1353,VIJAYLAXMI ENGINEERING,0,0,0,0,9,7,0,0,0,1,0,0,17
1354,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,254,269,475,430,354,435,409,476,408,439,388,470,4807
1355,VIJAYSHREE AUTOCOM LIMITED,25,13,19,7,16,14,13,26,11,12,12,13,181
1356,VIJEX STEEL FABRICATION,0,0,0,0,0,4,0,0,0,0,2,5,11
1357,VIKAS AGRO INDUSTRIES,0,0,0,0,0,2,0,0,0,0,0,0,2
1358,VIKRANT ENGINEERING,7,7,7,9,6,3,8,2,4,3,5,9,70
1359,VIMAL UNIVERSAL TRADE PVT LTD,42,41,62,62,102,79,81,99,80,89,51,43,831
1360,VINA ENGINEERING WORKS,2,2,4,0,4,1,1,3,0,1,0,8,26
1361,VINCI INDUSTRIAL CORPORATION,0,0,0,1,2,1,2,5,11,8,5,4,39
1362,VINTAGE VEHICLES,91,52,16,30,34,60,74,32,13,10,15,38,465
1363,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,1,0,2,3,4,17,32,20,3,3,4,3,92
1364,VISHAL AGRICULTURAL WORKS,3,3,2,3,2,18,0,0,0,1,1,1,34
1365,VISHAL ENTERPRISES,4,2,0,5,7,5,4,7,0,0,1,1,36
1366,VISHAVKARMA ENGINEERING WORKS,43,45,71,17,3,27,2,1,8,15,3,6,241
1367,VISHVAS TRACTORS LTD.,0,0,0,0,0,0,0,1,0,2,1,0,4
1368,VISHWAKARMA AGRICULTURE UDHYOG,15,15,32,4,9,5,3,2,7,18,14,13,137
1369,VISHWAKARMA GNG INDUSTRY,2,3,4,0,7,8,14,35,10,12,12,16,123
1370,VISHWARUP ENTERPRISE,0,1,1,0,0,0,0,4,0,2,0,2,10
1371,VISHWAS EQUIPMENT,0,0,0,0,0,0,0,0,0,0,1,0,1
1372,VISWAKARMA AGRO INDUSTRIES,1,1,1,0,1,0,0,0,1,0,0,0,5
1373,"VISWANATH INDUSTRIES,BBSR",1,2,8,3,7,0,4,3,4,6,5,5,48
1374,VITAN JAGADA AUTOMOBILE PVT LTD,0,3,0,0,0,0,0,0,0,0,0,0,3
1375,VMP CONCRETE EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0,1
1376,VMT INDUSTRIES PVT LTD,12,16,17,24,14,20,13,31,17,28,15,12,219
1377,VOLKSWAGEN AG,0,0,1,0,0,0,0,0,0,0,0,0,1
1378,VOLKSWAGEN INDIA PVT LTD,1,3,0,3,3,0,1,0,1,1,0,0,13
1379,VOLTAS LIMITED,0,0,0,20,0,6,0,0,0,0,0,7,33
1380,VOLVO AUTO INDIA PVT LTD,194,155,200,159,161,156,138,160,186,188,232,191,2120
1381,VOLVO CE INDIA PRIVATE LIMITED,36,39,58,49,60,34,52,54,43,55,44,45,569
1382,"""VOLVO GROUP INDIA PVT LTD""",57,88,127,64,79,122,56,100,159,85,128,114,1179
1383,VOLVO GROUP TRUCKS CENTRAL EUROPE GMBH,0,2,0,0,0,0,0,0,1,0,0,0,3
1384,VOLVO TRUCKS CORPORATION,1,1,2,1,0,0,0,0,0,4,0,0,9
1385,VRINDA ENTERPRISES,30,45,104,78,91,64,96,104,135,136,119,78,1080
1386,VST MOTER INDIA COMPANY,0,0,0,0,0,0,0,0,2,0,0,0,2
1387,V.S.T. TILLERS TRACTORS LIMITED,568,463,427,309,281,289,699,569,279,298,188,288,4658
1388,V.T. ENGINEERING,1,0,1,1,0,2,0,2,0,0,2,0,9
1389,V.V.A.AUTO INDUSTRIES PVT.LTD,6,1,1,9,1,1,1,1,0,0,3,2,26
1390,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,157,215,260,296,364,440,458,526,690,907,1188,1409,6910
1391,WARIVO MOTOR INDIA PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0,1
1392,WASAN E-MOBILITY SOLUTIONS PVT LTD,4,9,9,0,2,3,10,9,18,8,4,4,80
1393,WASIM MEERA ENGG WORKS,3,2,1,2,3,2,1,2,0,0,1,1,18
1394,WELKIN HEALTHCARE PVT LTD,1,1,1,0,11,4,0,5,3,1,0,3,30
1395,WHITE CARBON MOTORS PVT LTD,9,6,4,8,0,3,3,1,1,3,3,1,42
1396,WILLYS INDIA LTD,1,0,0,0,0,0,0,1,0,0,0,0,2
1397,WIRTGEN INDIA PVT LTD,34,33,40,23,34,43,37,31,49,48,16,41,429
1398,WISENT INFRATECH LLP,3,3,4,0,3,2,3,3,2,3,2,4,32
1399,WOX COOLERS PVT LTD,0,1,0,0,1,0,0,0,0,0,0,0,2
1400,WUXI DONGMA (IMPORTER: DYNAM PRECISION),0,1,4,2,0,0,1,1,1,2,3,0,15
1401,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),18,21,28,36,36,22,20,23,7,40,16,8,275
1402,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),0,0,0,0,0,0,0,0,0,0,0,4,4
1403,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),0,0,0,0,0,3,1,4,1,0,0,1,10
1404,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),11,10,9,10,6,19,11,13,32,25,24,12,182
1405,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),5,8,10,4,1,7,5,4,1,5,2,2,54
1406,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,0,0,0,0,5,14,12,12,15,10,68
1407,WUXI SAIGE (IMPORTER: ELECTRO-TECH),0,0,0,0,0,0,2,1,1,1,1,2,8
1408,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),0,1,1,0,3,1,1,4,1,1,2,0,15
1409,WUXI SAIGE (IMPORTER: NGAGE IMPEX),0,0,0,0,0,0,0,0,0,1,0,1,2
1410,WUXI SAIGE (IMPORTER: WARIVO MOTOR),0,0,3,3,1,1,2,0,0,160,97,161,428
1411,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),0,0,0,0,0,0,0,0,0,0,4,0,4
1412,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,0,0,0,0,0,0,0,0,0,0,1,1
1413,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),0,0,0,0,0,0,0,0,1,4,22,10,37
1414,WUXI TENGHUI (IMPORTER: CAL-ON INDUSTRIES),0,0,0,0,0,0,0,0,0,4,0,0,4
1415,WUXI TENGHUI (IMPORTER: FEZORA INDIA),0,0,0,0,2,1,2,5,4,9,8,4,35
1416,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,4,4,5,6,4,5,10,10,7,17,72
1417,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),0,0,0,0,0,0,0,1,4,6,9,2,22
1418,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),0,0,0,6,4,27,50,42,74,73,62,51,389
1419,WUXI TENGHUI (IMPORTER: JAIDKA POWER),0,0,0,0,1,0,3,0,3,0,1,0,8
1420,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),0,0,0,1,0,0,0,0,0,1,0,0,2
1421,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,0,0,4,6,2,0,0,12
1422,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),14,18,8,15,21,23,37,20,16,50,38,18,278
1423,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),0,0,0,0,0,0,1,1,3,3,7,2,17
1424,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),0,1,1,0,0,0,3,0,0,5,0,2,12
1425,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),0,0,0,4,14,24,50,37,80,40,49,18,316
1426,XCMG CONSTRUCTION MACHINERY CO. LTD.,1,0,0,0,0,0,0,0,0,0,0,0,1
1427,XPLORE AUTOMOTIVE PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0,2
1428,"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",4,9,12,3,18,16,11,11,13,11,28,21,157
1429,XXPLORE AUTOMATIVE PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0,2
1430,XXPLORE AUTOMOTIVE PVT. LIMITED,0,0,1,0,3,0,0,2,0,0,0,0,6
1431,XYZ1,5,4,5,2,7,9,4,12,4,4,67,11,134
1432,XYZ2,0,0,1,0,0,0,1,1,1,1,2,1,8
1433,YAARI AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,3,3
1434,YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,2,2,2,1,1,2,1,1,1,0,0,0,13
1435,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),3,4,1,0,0,2,0,2,0,1,2,1,16
1436,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),2,2,0,2,3,0,0,0,0,0,0,0,9
1437,YANGGUANG LINGMU (IMPORTER: ECOINDIA),1,1,0,0,2,0,0,0,0,0,0,0,4
1438,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),0,0,5,5,2,4,7,8,8,5,4,13,61
1439,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),4,1,2,4,3,2,5,5,0,0,0,1,27
1440,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),0,0,0,0,0,0,0,8,0,0,2,1,11
1441,YASH AGRO ENGINEERING WORKS,2,0,3,1,5,0,1,2,0,1,2,0,17
1442,YC ELECTRIC VEHICLE,2392,2620,3101,2839,3244,3471,3594,3986,3991,4068,3690,3818,40814
1443,YC ELECTRIC VEHICLE PVT LTD,11,8,2,0,0,0,0,0,0,0,0,0,21
1444,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,0,0,0,0,4,3,9,7,36,23,82
1445,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),0,0,0,0,0,3,8,14,46,43,22,82,218
1446,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),0,0,0,0,0,0,0,0,2,2,13,19,36
1447,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),0,0,0,0,0,0,2,6,3,2,2,5,20
1448,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),0,0,0,0,5,4,6,8,11,14,19,13,80
1449,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),0,0,0,0,0,0,0,0,0,0,1,1,2
1450,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),6,0,5,8,9,19,9,5,18,21,12,16,128
1451,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),2,4,2,7,1,3,0,1,1,4,0,7,32
1452,ZENIAK INNOVATION INDIA LTD,137,116,134,114,195,227,228,302,394,432,280,277,2836
1453,ZENMO PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,0,0,0,1
1454,ZENTHIUM EV PVT LTD,27,31,30,43,64,44,50,87,87,87,72,98,720
1455,ZEOPLUS AXIS INDIA PVT. LTD.,159,105,233,163,270,245,319,330,417,457,393,472,3563
1456,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,1,0,1,1,2,1,1,0,0,4,11
1457,ZESAR MOTORS PVT LTD,0,0,0,0,0,1,27,0,0,0,9,0,37
1458,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),5,5,8,10,8,5,3,7,5,4,5,5,70
1459,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),41,37,33,24,20,16,15,13,15,13,17,16,260
1460,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),2,5,5,3,3,4,7,3,4,3,6,0,45
1461,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),4,0,2,6,1,1,0,1,2,2,2,0,21
1462,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),5,3,11,10,4,7,2,4,14,7,15,4,86
1463,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),1,2,16,8,6,7,7,2,4,3,6,2,64
1464,ZOHAN TRADERS AND BIG METRO,5,4,15,13,12,34,16,12,5,5,4,6,131
1465,ZOOMLION INDIA PVT LTD,10,14,11,9,8,15,17,27,21,13,11,13,169
1466,ZUBEDA TROLLY REPAIRING WORKS,0,0,0,0,0,0,0,17,10,9,4,0,40
